Уровень календаря,Дата,Статистические показатели,ОКАТО,Значение,,,
1,01.01.2001,Число мужчин на 1 января,г. Кунгур,33503,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'г. Кунгур', 33503);"
1,01.01.2001,Число мужчин на 1 января,Лысьвенский район,42190,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Лысьвенский район', 42190);"
1,01.01.2001,Число мужчин на 1 января,г. Соликамск,52031,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'г. Соликамск', 52031);"
1,01.01.2001,Число мужчин на 1 января,Чайковский район,54742,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Чайковский район', 54742);"
1,01.01.2002,Число мужчин на 1 января,Пермский край,1383308,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Пермский край', 1383308);"
1,01.01.2002,Число мужчин на 1 января,Бардымский район,13361,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Бардымский район', 13361);"
1,01.01.2002,Число мужчин на 1 января,Березовский район,8896,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Березовский район', 8896);"
1,01.01.2002,Число мужчин на 1 января,Большесосновский район,7560,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Большесосновский район', 7560);"
1,01.01.2002,Число мужчин на 1 января,Верещагинский район,21798,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Верещагинский район', 21798);"
1,01.01.2002,Число мужчин на 1 января,Горнозаводский район,16692,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Горнозаводский район', 16692);"
1,01.01.2002,Число мужчин на 1 января,Еловский район,6715,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Еловский район', 6715);"
1,01.01.2002,Число мужчин на 1 января,Ильинский район,11218,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Ильинский район', 11218);"
1,01.01.2002,Число мужчин на 1 января,Карагайский район,11855,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Карагайский район', 11855);"
1,01.01.2002,Число мужчин на 1 января,Кишертский район,7767,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Кишертский район', 7767);"
1,01.01.2002,Число мужчин на 1 января,Красновишерский район,14003,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Красновишерский район', 14003);"
1,01.01.2002,Число мужчин на 1 января,Куединский район,15945,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Куединский район', 15945);"
1,01.01.2002,Число мужчин на 1 января,Кунгурский район,22846,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Кунгурский район', 22846);"
1,01.01.2002,Число мужчин на 1 января,Нытвенский район,24276,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Нытвенский район', 24276);"
1,01.01.2002,Число мужчин на 1 января,Октябрьский район,18572,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Октябрьский район', 18572);"
1,01.01.2002,Число мужчин на 1 января,Ординский район,8529,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Ординский район', 8529);"
1,01.01.2002,Число мужчин на 1 января,Осинский район,18181,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Осинский район', 18181);"
1,01.01.2002,Число мужчин на 1 января,Оханский район,9100,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Оханский район', 9100);"
1,01.01.2002,Число мужчин на 1 января,Очерский район,11998,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Очерский район', 11998);"
1,01.01.2002,Число мужчин на 1 января,Пермский район,43141,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Пермский район', 43141);"
1,01.01.2002,Число мужчин на 1 января,Сивинский район,8956,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Сивинский район', 8956);"
1,01.01.2002,Число мужчин на 1 января,Соликамский район,7402,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Соликамский район', 7402);"
1,01.01.2002,Число мужчин на 1 января,Суксунский район,11397,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Суксунский район', 11397);"
1,01.01.2002,Число мужчин на 1 января,Уинский район,6885,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Уинский район', 6885);"
1,01.01.2002,Число мужчин на 1 января,Усольский район,6250,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Усольский район', 6250);"
1,01.01.2002,Число мужчин на 1 января,Частинский район,7247,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Частинский район', 7247);"
1,01.01.2002,Число мужчин на 1 января,Чердынский район,19693,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Чердынский район', 19693);"
1,01.01.2002,Число мужчин на 1 января,Чернушинский район,26250,0,,"INSERT INTO stat_Permsky_men (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число мужчин на 1 января', 'Чернушинский район', 26250);"
