Уровень календаря,Дата,Статистические показатели,ОКАТО,Значение,,,
1,01.01.2001,Число женщин на 1 января,Нытвенский район,27506,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Нытвенский район', 27506);"
1,01.01.2001,Число женщин на 1 января,Октябрьский район,20574,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Октябрьский район', 20574);"
1,01.01.2001,Число женщин на 1 января,Ординский район,9144,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Ординский район', 9144);"
1,01.01.2001,Число женщин на 1 января,Осинский район,19076,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Осинский район', 19076);"
1,01.01.2001,Число женщин на 1 января,Оханский район,10020,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Оханский район', 10020);"
1,01.01.2001,Число женщин на 1 января,Очерский район,13191,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Очерский район', 13191);"
1,01.01.2001,Число женщин на 1 января,Пермский район,48535,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Пермский район', 48535);"
1,01.01.2001,Число женщин на 1 января,Сивинский район,9786,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Сивинский район', 9786);"
1,01.01.2001,Число женщин на 1 января,Соликамский район,8711,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Соликамский район', 8711);"
1,01.01.2001,Число женщин на 1 января,Суксунский район,12634,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Суксунский район', 12634);"
1,01.01.2001,Число женщин на 1 января,Уинский район,7563,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Уинский район', 7563);"
1,01.01.2001,Число женщин на 1 января,Усольский район,7180,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2001', '%d.%m.%Y'), 'Число женщин на 1 января', 'Усольский район', 7180);"
