Численность населения по итогам Всероссийской переписи населения (человек, значение показателя за год);;;
;;;
;;;2010
        Ульяновская область;городское население;женщины;518173
        Ульяновская область;городское население;мужчины;432457
        Ульяновская область;сельское население;Всего;342169
        Ульяновская область;сельское население;женщины;182538
        Ульяновская область;сельское население;мужчины;159631
    Уральский федеральный округ;все население;Всего;12080526
    Уральский федеральный округ;все население;женщины;6468875
    Уральский федеральный округ;все население;мужчины;5611651
    Уральский федеральный округ;городское население;Всего;9656211
    Уральский федеральный округ;городское население;женщины;5204385
    Уральский федеральный округ;городское население;мужчины;4451826
    Уральский федеральный округ;сельское население;Всего;2424315
    Уральский федеральный округ;сельское население;женщины;1264490
    Уральский федеральный округ;сельское население;мужчины;1159825
        Курганская область;все население;Всего;910807
        Курганская область;все население;женщины;492765
        Курганская область;все население;мужчины;418042
        Курганская область;городское население;Всего;548820
        Курганская область;городское население;женщины;302173
        Курганская область;городское население;мужчины;246647
        Курганская область;сельское население;Всего;361987
        Курганская область;сельское население;женщины;190592
        Курганская область;сельское население;мужчины;171395
        Свердловская область;все население;Всего;4297747
        Свердловская область;все население;женщины;2330077
        Свердловская область;все население;мужчины;1967670
        Свердловская область;городское население;Всего;3604012
        Свердловская область;городское население;женщины;1967917
        Свердловская область;городское население;мужчины;1636095
        Свердловская область;сельское население;Всего;693735
        Свердловская область;сельское население;женщины;362160
        Свердловская область;сельское население;мужчины;331575
        Тюменская область;все население;Всего;3395755
        Тюменская область;все население;женщины;1759792
        Тюменская область;все население;мужчины;1635963
        Тюменская область;городское население;Всего;2653456
        Тюменская область;городское население;женщины;1379167
        Тюменская область;городское население;мужчины;1274289
        Тюменская область;сельское население;Всего;742299
        Тюменская область;сельское население;женщины;380625
        Тюменская область;сельское население;мужчины;361674
            Ханты-Мансийский автономный округ-Югра;все население;Всего;1532243
            Ханты-Мансийский автономный округ-Югра;все население;женщины;781394
            Ханты-Мансийский автономный округ-Югра;все население;мужчины;750849
            Ханты-Мансийский автономный округ-Югра;городское население;Всего;1401429
            Ханты-Мансийский автономный округ-Югра;городское население;женщины;717728
            Ханты-Мансийский автономный округ-Югра;городское население;мужчины;683701
            Ханты-Мансийский автономный округ-Югра;сельское население;Всего;130814
            Ханты-Мансийский автономный округ-Югра;сельское население;женщины;63666
            Ханты-Мансийский автономный округ-Югра;сельское население;мужчины;67148
            Ямало-Ненецкий автономный округ;все население;Всего;522904
            Ямало-Ненецкий автономный округ;все население;женщины;263704
            Ямало-Ненецкий автономный округ;все население;мужчины;259200
            Ямало-Ненецкий автономный округ;городское население;Всего;443043
            Ямало-Ненецкий автономный округ;городское население;женщины;224080
            Ямало-Ненецкий автономный округ;городское население;мужчины;218963
            Ямало-Ненецкий автономный округ;сельское население;Всего;79861
            Ямало-Ненецкий автономный округ;сельское население;женщины;39624
            Ямало-Ненецкий автономный округ;сельское население;мужчины;40237
        Челябинская область;все население;Всего;3476217
        Челябинская область;все население;женщины;1886241
        Челябинская область;все население;мужчины;1589976
        Челябинская область;городское население;Всего;2849923
        Челябинская область;городское население;женщины;1555128
        Челябинская область;городское население;мужчины;1294795
        Челябинская область;сельское население;Всего;626294
        Челябинская область;сельское население;женщины;331113
        Челябинская область;сельское население;мужчины;295181
    Сибирский федеральный округ;все население;Всего;19256426
    Сибирский федеральный округ;все население;женщины;10304269
    Сибирский федеральный округ;все население;мужчины;8952157
    Сибирский федеральный округ;городское население;Всего;13857121
    Сибирский федеральный округ;городское население;женщины;7500150
    Сибирский федеральный округ;городское население;мужчины;6356971
    Сибирский федеральный округ;сельское население;Всего;5399305
    Сибирский федеральный округ;сельское население;женщины;2804119
    Сибирский федеральный округ;сельское население;мужчины;2595186
        Республика Алтай;все население;Всего;206168
        Республика Алтай;все население;женщины;108714
        Республика Алтай;все население;мужчины;97454
        Республика Алтай;городское население;Всего;56933
        Республика Алтай;городское население;женщины;31703
        Республика Алтай;городское население;мужчины;25230
        Республика Алтай;сельское население;Всего;149235
        Республика Алтай;сельское население;женщины;77011
        Республика Алтай;сельское население;мужчины;72224
        Республика Бурятия;все население;Всего;972021
        Республика Бурятия;все население;женщины;509666
        Республика Бурятия;все население;мужчины;462355
        Республика Бурятия;городское население;Всего;567632
