Уровень календаря;Дата;Статистические показатели;ОКАТО;Значение
1;01.01.2008;Число мужчин на 1 января;Краснокамский район;31190,00
1;01.01.2008;Число мужчин на 1 января;г. Кунгур;31873,00
1;01.01.2008;Число мужчин на 1 января;Лысьвенский район;37518,00
1;01.01.2008;Число мужчин на 1 января;г. Соликамск;44698,00
1;01.01.2008;Число мужчин на 1 января;Чайковский район;49998,00
1;01.01.2009;Число мужчин на 1 января;Пермский край;1220340,00
1;01.01.2009;Число мужчин на 1 января;Гайнский район;7728,00
1;01.01.2009;Число мужчин на 1 января;Косинский район;3723,00
1;01.01.2009;Число мужчин на 1 января;Кочевский район;6200,00
1;01.01.2009;Число мужчин на 1 января;Кудымкарский район;13207,00
1;01.01.2009;Число мужчин на 1 января;Юрлинский район;5344,00
1;01.01.2009;Число мужчин на 1 января;Юсьвинский район;10783,00
1;01.01.2009;Число мужчин на 1 января;г. Кудымкар;13493,00
1;01.01.2009;Число мужчин на 1 января;Бардымский район;13105,00
1;01.01.2009;Число мужчин на 1 января;Березовский район;8500,00
1;01.01.2009;Число мужчин на 1 января;Большесосновский район;6685,00
1;01.01.2009;Число мужчин на 1 января;Верещагинский район;20106,00
1;01.01.2009;Число мужчин на 1 января;Горнозаводский район;12756,00
1;01.01.2009;Число мужчин на 1 января;Еловский район;5823,00
1;01.01.2009;Число мужчин на 1 января;Ильинский район;9418,00
1;01.01.2009;Число мужчин на 1 января;Карагайский район;11033,00
1;01.01.2009;Число мужчин на 1 января;Кишертский район;6859,00
1;01.01.2009;Число мужчин на 1 января;Красновишерский район;12390,00
1;01.01.2009;Число мужчин на 1 января;Куединский район;14480,00
1;01.01.2009;Число мужчин на 1 января;Кунгурский район;22130,00
1;01.01.2009;Число мужчин на 1 января;Нытвенский район;20852,00
1;01.01.2009;Число мужчин на 1 января;Октябрьский район;16466,00
1;01.01.2009;Число мужчин на 1 января;Ординский район;7629,00
1;01.01.2009;Число мужчин на 1 января;Осинский район;14955,00
1;01.01.2009;Число мужчин на 1 января;Оханский район;7961,00
1;01.01.2009;Число мужчин на 1 января;Очерский район;11431,00
1;01.01.2009;Число мужчин на 1 января;Пермский район;40964,00
1;01.01.2009;Число мужчин на 1 января;Сивинский район;7847,00
