1121,11/21/2002,AERO COMMANDER,1539,0,11.95,8511.79926
757-222,04/25/1990,BOEING,1950,0,51.15,35378.12122
757-222,05/04/1993,BOEING,1999,0,56.6,42956.50328
757-222,05/19/2004,BOEING,6037,1,192.2,132859.0637
757-222,05/20/1993,BOEING,1748,0,46.016666666666666,33186.20014
757-222,05/20/2004,BOEING,149,0,44.38333333333333,30353.761739999998
757-222,05/25/2004,BOEING,559,0,53.81666666666667,38598.41056
757-222,05/26/2004,BOEING,5531,0,355.9,246314.31501999998
757-222,05/27/2004,BOEING,1950,0,51.95,36480.51912
757-222,05/28/2004,BOEING,559,0,51.13333333333333,35677.45846
757-222,06/01/2005,BOEING,271,0,46.61666666666667,32389.57684
757-222,06/13/1991,BOEING,1662,0,36.1,25763.92406
757-222,06/14/1990,BOEING,1753,0,69.31666666666666,47879.47434
757-222,06/21/1991,BOEING,3353,0,107.58333333333334,74689.4694
757-222,06/25/1993,BOEING,1748,0,69.9,50330.49916
757-222,07/11/1996,BOEING,559,0,52.416666666666664,37127.4738
757-222,07/14/1993,BOEING,877,0,55.71666666666667,38759.34456
757-222,07/18/1991,BOEING,559,0,70.71666666666667,49500.07972
757-222,07/18/2003,BOEING,1950,0,54.15,36536.84602
757-222,07/20/1990,BOEING,559,0,71.31666666666666,49174.99304
757-222,07/20/2004,BOEING,559,0,55.71666666666667,39071.55652
757-222,07/26/2006,BOEING,3624,0,139.85,97762.57698
757-222,07/27/2006,BOEING,716,0,111.08333333333334,78289.56298
757-222,07/28/2006,BOEING,1600,0,57.61666666666667,38186.41952
757-222,07/30/1993,BOEING,1748,0,78.16666666666667,58489.85296
757-222,07/31/1991,BOEING,559,0,61.416666666666664,40553.75866
757-222,08/12/1993,BOEING,877,0,59.916666666666664,42449.56118
757-222,08/13/1996,BOEING,1600,0,48.233333333333334,33413.117079999996
757-222,08/16/1993,BOEING,1999,0,44.06666666666667,31465.81568
757-222,08/20/1990,BOEING,1753,0,56.916666666666664,37658.556
757-222,08/24/1990,BOEING,1950,0,66.61666666666666,46332.8986
757-222,08/25/1995,BOEING,559,0,71.05,49986.1004
757-222,09/01/1994,BOEING,1999,0,53.21666666666667,38934.76262
757-222,09/13/1996,BOEING,1753,0,81.48333333333333,57326.30014
757-222,09/15/2006,BOEING,451,0,55.38333333333333,38915.45054
757-222,09/17/1990,BOEING,1950,0,28.916666666666668,20881.1865
757-222,09/23/1993,BOEING,1118,0,126.15,89104.32777999999
757-222,09/24/1990,BOEING,155,0,32.43333333333333,22773.77034
757-222,09/28/1989,BOEING,1753,0,44.483333333333334,29924.06796
757-222,09/28/1995,BOEING,1950,0,52.55,36166.69782
757-222,09/30/1994,BOEING,1578,0,68.01666666666667,48333.30822
757-222,10/19/1990,BOEING,1950,0,44.56666666666667,30047.98714
757-222,10/30/1989,BOEING,559,0,48.45,34501.03092
757-222,10/31/1990,BOEING,559,0,62.11666666666667,43048.23566
757-222,11/04/1997,BOEING,1578,0,62.28333333333333,46659.594619999996
757-222,11/13/1991,BOEING,1950,0,19.25,14221.737579999999
757-222,11/16/1990,BOEING,3528,0,119.66666666666666,82956.64898
757-222,11/30/2007,BOEING,1600,0,59.016666666666666,40565.02404
757-222,12/11/1990,BOEING,1950,0,59.416666666666664,40054.86326
757-222,12/13/1991,BOEING,898,0,56.88333333333333,42098.72506
757-222,12/23/1991,BOEING,46,0,47.833333333333336,35730.566679999996
757-223,05/20/1999,BOEING,1151,0,15.133333333333333,12702.52062
757-223,06/02/1999,BOEING,1565,0,74.28333333333333,59637.31238
757-223,10/03/1989,BOEING,2009,0,57.1,45703.64666
757-223,10/04/1989,BOEING,3069,0,47.11666666666667,33276.32318
757-223,12/14/1999,BOEING,3071,0,52.766666666666666,35725.73866
757-224,01/16/1998,BOEING,1637,0,25.866666666666667,18027.82668
757-224,02/02/1995,BOEING,1637,0,28.016666666666666,19524.51288
757-224,02/02/1998,BOEING,1637,0,36.8,26019.809119999998
757-224,02/20/1998,BOEING,1669,0,26.333333333333332,18027.82668
757-224,02/22/1999,BOEING,1507,0,24.266666666666666,16276.86476
757-224,02/25/1998,BOEING,1637,0,27.083333333333332,19397.37502
757-224,03/20/1998,BOEING,157,0,11.95,8255.9142
757-224,03/22/1999,BOEING,1637,0,18.75,12638.14702
757-224,03/27/1998,BOEING,157,0,11.933333333333334,8255.9142
757-224,03/28/1997,BOEING,1507,0,26.116666666666667,18027.82668
757-224,03/29/1996,BOEING,157,0,5.966666666666667,4127.9571
757-224,04/12/1995,BOEING,1669,0,21.65,15396.55578
757-224,04/25/1996,BOEING,157,0,18.666666666666668,12383.8713
757-224,05/08/1998,BOEING,1507,0,17.9,12638.14702
757-224,05/13/1994,BOEING,157,0,23.416666666666668,16511.8284
757-224,05/14/1997,BOEING,1669,0,32.63333333333333,21891.85202
757-224,06/02/2000,BOEING,1637,0,25.833333333333332,17636.75706
757-224,06/03/1994,BOEING,157,0,11.0,8255.9142
757-224,06/10/1998,BOEING,157,0,11.65,8255.9142
757-224,06/27/1994,BOEING,157,0,17.766666666666666,12383.8713
757-224,07/01/1998,BOEING,157,0,11.5,8255.9142
757-224,08/01/1994,BOEING,1669,0,18.483333333333334,12638.14702
757-224,08/01/1997,BOEING,1507,0,22.866666666666667,15885.79514
757-224,08/05/1997,BOEING,1637,0,28.2,19651.65074
757-224,08/14/1997,BOEING,1507,0,19.55,13381.6621
757-224,08/15/1995,BOEING,157,0,23.466666666666665,16511.8284
757-224,08/19/1994,BOEING,1507,0,20.483333333333334,14389.10894
757-224,09/23/1994,BOEING,1669,0,29.666666666666668,20659.09758
757-224,10/17/1994,BOEING,1859,0,6.916666666666667,4871.47218
757-224,11/08/1994,BOEING,1637,0,45.0,31028.0752
757-224,11/30/1999,BOEING,1637,0,32.8,22517.88528
757-224,12/07/1994,BOEING,1637,0,43.0,29531.389
757-224,12/08/1994,BOEING,1637,0,34.38333333333333,24395.98506
757-224,12/15/1994,BOEING,157,0,6.05,4127.9571
757-224,12/19/1997,BOEING,1637,0,27.45,18644.2039
757-224,12/23/1998,BOEING,157,0,10.933333333333334,8255.9142
757-232,02/08/1985,BOEING,303,0,45.81666666666667,32169.09726
757-232,02/21/1986,BOEING,1429,1,0.0,0.0
757-232,02/25/1986,BOEING,1512,1,0.0,0.0
757-232,03/26/1986,BOEING,1617,0,54.3,37679.47742
757-232,03/27/1985,BOEING,1073,1,0.0,0.0
757-232,06/15/2007,BOEING,3129,3,0.0,0.0
757-232,06/20/2007,BOEING,3594,3,89.18333333333334,61272.40182
757-232,06/21/2007,BOEING,1512,0,57.21666666666667,39393.42452
757-232,06/22/2007,BOEING,3360,6,85.95,60276.22036
757-232,07/03/1985,BOEING,1073,2,0.0,0.0
757-232,08/01/1986,BOEING,465,0,66.9,46830.18466
757-232,08/04/1986,BOEING,1429,1,0.0,0.0
757-232,09/18/1986,BOEING,303,1,0.0,0.0
757-232,10/03/1986,BOEING,1440,1,0.0,0.0
757-251,01/02/2004,BOEING,361,1,0.0,0.0
757-251,01/16/2004,BOEING,1644,1,167.64999999999998,118067.61976000002
757-251,02/13/2004,BOEING,647,0,61.7,42192.06678
757-251,03/01/1996,BOEING,353,0,32.666666666666664,21961.05364
757-251,03/01/2006,BOEING,1297,0,206.03333333333333,141914.81988000002
757-251,04/02/2007,BOEING,1531,0,60.38333333333333,41680.29666
757-251,04/04/1985,BOEING,575,0,60.9,42388.40626
757-251,04/09/1985,BOEING,355,0,54.916666666666664,36823.30854
757-251,04/12/2005,BOEING,575,0,31.933333333333334,22511.44792
757-251,04/14/2006,BOEING,355,1,0.0,0.0
757-251,04/19/2006,BOEING,351,0,58.75,41976.41522
757-251,05/21/1996,BOEING,361,0,60.61666666666667,40228.67198
757-251,05/22/2008,BOEING,575,1,0.0,0.0
757-251,06/14/2004,BOEING,1531,0,62.18333333333333,43891.52982
757-251,06/15/2006,BOEING,361,0,38.1,26758.49618
757-251,06/21/1996,BOEING,351,0,62.93333333333333,44860.3525
757-251,06/21/2006,BOEING,1150,1,82.56666666666666,57091.3365
757-251,06/22/2006,BOEING,575,0,55.766666666666666,38109.1712
757-251,07/02/2004,BOEING,930,1,42.516666666666666,30833.34506
757-251,07/22/1996,BOEING,575,0,61.38333333333333,41858.9334
757-251,08/12/2004,BOEING,1531,0,65.5,47029.74282
757-251,08/26/1996,BOEING,351,0,52.016666666666666,35737.00404
757-251,08/30/1996,BOEING,1531,0,51.21666666666667,35281.56082
757-251,09/23/1996,BOEING,1531,0,61.266666666666666,42616.93254
757-251,10/20/2004,BOEING,361,0,64.41666666666667,44179.60168
757-251,10/27/2005,BOEING,575,1,0.0,0.0
757-251,11/16/2005,BOEING,3130,0,232.10000000000002,162562.65208
757-251,11/22/1995,BOEING,575,1,0.0,0.0
757-251,12/14/1988,BOEING,2461,2,93.65,65295.751820000005
757-251,12/26/1995,BOEING,355,0,39.75,27389.35746
767-223,01/19/1988,BOEING,677,0,51.666666666666664,36054.04402
767-223,01/28/1988,BOEING,677,0,91.43333333333334,68770.31688
767-223,04/02/1987,BOEING,677,0,59.016666666666666,41595.00164
767-223,04/09/2004,BOEING,2114,0,268.26666666666665,188611.42932
