Уровень календаря;Дата;Статистические показатели;ОКАТО;Значение
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;Чусовской район;62800,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;г. Пермь;990156,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;Александровский район;29445,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;г. Березники;167005,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;Гремячинский район;15098,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;Губахинский район;39266,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;Добрянский район;48826,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;Кизеловский район;31400,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;Краснокамский район;57058,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;г. Кунгур;67923,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;Лысьвенский район;69217,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;г. Соликамск;98205,00
1;01.01.2007;Численность постоянного городского населения по состоянию на 1 января;Чайковский район;83450,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;Пермский край;2017650,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;г. Кудымкар;30964,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;Верещагинский район;22752,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;Горнозаводский район;26412,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;Ильинский район;10444,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;Красновишерский район;17385,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;Нытвенский район;32407,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;Октябрьский район;16011,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;Осинский район;22466,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;Оханский район;7601,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;Очерский район;18433,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;Суксунский район;8339,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;Усольский район;7097,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;Чердынский район;12716,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;Чернушинский район;36078,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;Чусовской район;62386,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;г. Пермь;987234,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;Александровский район;29221,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;г. Березники;165950,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;Гремячинский район;15018,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;Губахинский район;38357,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;Добрянский район;48920,00
1;01.01.2008;Численность постоянного городского населения по состоянию на 1 января;Кизеловский район;30835,00
